PL,NAME,YEAR,TEAM,Avg. Mile,t_min,t_sec,TIME,SCORE,race,minutes,distance
214,Weronika Stanczak,SR-4,Chicago State,06:16.4,23,23.5,23:23.5,NA,2024_NCAA_Division_I_Midwest_Region_Cross_Country_Championships,23.391666666666666,6
215,Lily Jackson,JR-3,Omaha,06:17.5,23,27.5,23:27.5,210,2024_NCAA_Division_I_Midwest_Region_Cross_Country_Championships,23.458333333333332,6
216,Madeline Lage,FR-1,Creighton,06:17.9,23,29.1,23:29.1,211,2024_NCAA_Division_I_Midwest_Region_Cross_Country_Championships,23.485,6
217,Alayna Sparr,JR-3,SE Missouri,06:18.0,23,29.4,23:29.4,212,2024_NCAA_Division_I_Midwest_Region_Cross_Country_Championships,23.49,6
218,Riley Linville,FR-1,Southern Illinois,06:19.6,23,35.4,23:35.4,213,2024_NCAA_Division_I_Midwest_Region_Cross_Country_Championships,23.59,6
219,Trixie Johnson,SO-2,Illinois State,06:19.9,23,36.5,23:36.5,214,2024_NCAA_Division_I_Midwest_Region_Cross_Country_Championships,23.608333333333334,6
220,Cordelia Hoover,FR-1,SE Missouri,06:20.4,23,38.4,23:38.4,215,2024_NCAA_Division_I_Midwest_Region_Cross_Country_Championships,23.64,6
221,Carrington Hessen,FR-1,Omaha,06:23.0,23,48.2,23:48.2,216,2024_NCAA_Division_I_Midwest_Region_Cross_Country_Championships,23.803333333333335,6
222,Emma Hain,SR-4,Omaha,06:23.9,23,51.3,23:51.3,217,2024_NCAA_Division_I_Midwest_Region_Cross_Country_Championships,23.855,6
223,Camille Jackson,SR-4,Northern Illinois,06:24.1,23,52.3,23:52.3,NA,2024_NCAA_Division_I_Midwest_Region_Cross_Country_Championships,23.871666666666666,6
224,Kathryn Cichon,JR-3,Eastern Illinois,06:25.4,23,57.1,23:57.1,218,2024_NCAA_Division_I_Midwest_Region_Cross_Country_Championships,23.951666666666668,6
225,Ana Keller,JR-3,SIU Edwardsville,06:28.1,24,07.0,24:07.0,219,2024_NCAA_Division_I_Midwest_Region_Cross_Country_Championships,24.116666666666667,6
226,Brodie Denny,SO-2,Southern Illinois,06:32.0,24,21.7,24:21.7,220,2024_NCAA_Division_I_Midwest_Region_Cross_Country_Championships,24.361666666666668,6
227,Tegan Bishop,SO-2,Saint Louis,06:33.1,24,25.8,24:25.8,221,2024_NCAA_Division_I_Midwest_Region_Cross_Country_Championships,24.43,6
228,Emilee Franklin,FR-1,SIU Edwardsville,06:36.9,24,39.7,24:39.7,222,2024_NCAA_Division_I_Midwest_Region_Cross_Country_Championships,24.661666666666665,6
229,Courtney Anthonies,JR-3,SIU Edwardsville,06:49.2,25,25.8,25:25.8,223,2024_NCAA_Division_I_Midwest_Region_Cross_Country_Championships,25.43,6
230,Meaghan Andrews,SR-4,DePaul,07:07.8,26,35.3,26:35.3,224,2024_NCAA_Division_I_Midwest_Region_Cross_Country_Championships,26.588333333333335,6
1,Maelle Porcher,JR-3,Iowa State,05:27.5,16,57.6,16:57.6,1,2024CyclonePreview,16.96,5
2,Bella Heikes,SR-4,Iowa State,05:29.1,17,02.4,17:02.4,2,2024CyclonePreview,17.04,5
3,Riley Beach,JR-3,Iowa State,05:31.1,17,08.7,17:08.7,3,2024CyclonePreview,17.145,5
4,Taylor Briggs,SR-4,Iowa State,05:32.3,17,12.5,17:12.5,4,2024CyclonePreview,17.208333333333332,5
5,Josie Baker,FR-1,Iowa State,05:32.6,17,13.6,17:13.6,5,2024CyclonePreview,17.226666666666667,5
6,Sydney Morrell,SO-2,Iowa State,05:32.8,17,14.1,17:14.1,6,2024CyclonePreview,17.235,5
7,Janette Schraft,?,Unattached,05:33.3,17,15.7,17:15.7,NA,2024CyclonePreview,17.261666666666667,5
8,Claire White,FR-1,Iowa State,05:34.3,17,18.6,17:18.6,7,2024CyclonePreview,17.31,5
9,Becca Heitzig,FR-1,Iowa State,05:35.3,17,22.0,17:22.0,NA,2024CyclonePreview,17.366666666666667,5
10,Emma Hoins,SR-4,Northern Iowa,05:35.7,17,23.1,17:23.1,8,2024CyclonePreview,17.385,5
11,Keelee Leitzen,FR-1,Iowa State,05:39.2,17,34.0,17:34.0,NA,2024CyclonePreview,17.566666666666666,5
12,Sheridan Wheeler,?,Unattached,05:39.2,17,34.0,17:34.0,NA,2024CyclonePreview,17.566666666666666,5
13,Meghan Wheatley,FR-1,Northern Iowa,05:39.5,17,34.9,17:34.9,9,2024CyclonePreview,17.581666666666667,5
14,Makayla Clark,SO-2,Iowa State,05:40.4,17,37.6,17:37.6,NA,2024CyclonePreview,17.626666666666665,5
15,Mya Trober,SO-2,Iowa State,05:41.3,17,40.4,17:40.4,NA,2024CyclonePreview,17.673333333333332,5
16,Aspen Fulbright,JR-3,Iowa State,05:41.8,17,41.9,17:41.9,NA,2024CyclonePreview,17.698333333333334,5
17,Emilie Meyer,SR-4,Drake,05:41.8,17,42.0,17:42.0,10,2024CyclonePreview,17.7,5
18,Tyla Lumley,JR-3,Drake,05:41.8,17,42.2,17:42.2,11,2024CyclonePreview,17.703333333333333,5
19,Melody Ochana,SR-4,Northern Iowa,05:42.9,17,45.6,17:45.6,12,2024CyclonePreview,17.76,5
20,Ashlyn Keeney,JR-3,Iowa State,05:43.5,17,47.2,17:47.2,NA,2024CyclonePreview,17.786666666666665,5
21,Kate Crawford,SR-4,Northern Iowa,05:45.0,17,51.9,17:51.9,13,2024CyclonePreview,17.865,5
22,Millie Hill,JR-3,Northern Iowa,05:46.9,17,57.9,17:57.9,14,2024CyclonePreview,17.965,5
23,Camryn Sattler,FR-1,Iowa State,05:47.1,17,58.5,17:58.5,NA,2024CyclonePreview,17.975,5
24,Anastasia Kirillov,SR-4,Drake,05:47.4,17,59.5,17:59.5,15,2024CyclonePreview,17.991666666666667,5
25,Breanna Burak,FR-1,Drake,05:47.5,17,59.6,17:59.6,16,2024CyclonePreview,17.993333333333332,5
26,Eden Mueller,SO-2,Northern Iowa,05:48.8,18,03.7,18:03.7,17,2024CyclonePreview,18.061666666666667,5
27,Leah Klapatauskas,FR-1,Northern Iowa,05:50.8,18,10.0,18:10.0,18,2024CyclonePreview,18.166666666666668,5
28,Ruby Hughes,FR-1,Iowa State,05:52.6,18,15.6,18:15.6,NA,2024CyclonePreview,18.26,5
29,Brooke O'Brien,SO-2,Northern Iowa,06:00.5,18,40.2,18:40.2,NA,2024CyclonePreview,18.67,5
30,McKinley Wheeler,?,Unattached,06:05.9,18,56.8,18:56.8,NA,2024CyclonePreview,18.946666666666665,5
31,Clare Wright,FR-1,Northern Iowa,06:10.2,19,10.2,19:10.2,NA,2024CyclonePreview,19.17,5
32,Chiara Belfico,SR-4,Drake,06:16.0,19,28.3,19:28.3,19,2024CyclonePreview,19.471666666666668,5
33,Gracie Foster,FR-1,Drake,06:18.3,19,35.4,19:35.4,20,2024CyclonePreview,19.59,5
34,Lauren Klein,SR-4,Northern Iowa,06:21.8,19,46.3,19:46.3,NA,2024CyclonePreview,19.77166666666667,5
35,Hannah Kilday,FR-1,Drake,06:28.8,20,08.1,20:08.1,21,2024CyclonePreview,20.135,5
36,Maia Italia,SR-4,Drake,06:41.2,20,46.5,20:46.5,NA,2024CyclonePreview,20.775,5
37,Hannah Quinn,FR-1,Drake,06:43.9,20,55.1,20:55.1,NA,2024CyclonePreview,20.918333333333333,5
1,Regina Mpigachai,JR-3,Northern Colorado,05:28.6,17,01.0,17:01.0,1,2024GreenoDirksenCrossCountryInvitational,17.016666666666666,5
2,Ali Bainbridge,SO-2,Nebraska,05:40.3,17,37.4,17:37.4,2,2024GreenoDirksenCrossCountryInvitational,17.623333333333335,5
3,Brynna McQuillen,SR-4,Nebraska,05:42.5,17,44.3,17:44.3,3,2024GreenoDirksenCrossCountryInvitational,17.738333333333333,5
4,Constance O'Neal,JR-3,Sonoma St.,05:42.8,17,45.1,17:45.1,4,2024GreenoDirksenCrossCountryInvitational,17.751666666666665,5
5,Emilie Meyer,SR-4,Drake,05:44.2,17,49.5,17:49.5,5,2024GreenoDirksenCrossCountryInvitational,17.825,5
6,Aspen Fulbright,JR-3,Iowa State,05:45.7,17,54.3,17:54.3,6,2024GreenoDirksenCrossCountryInvitational,17.905,5
7,Anastasia Kirillov,SR-4,Drake,05:46.1,17,55.5,17:55.5,7,2024GreenoDirksenCrossCountryInvitational,17.925,5
8,Breanna Burak,FR-1,Drake,05:47.6,18,00.1,18:00.1,8,2024GreenoDirksenCrossCountryInvitational,18.001666666666665,5
9,Ashlyn Keeney,JR-3,Iowa State,05:48.1,18,01.6,18:01.6,9,2024GreenoDirksenCrossCountryInvitational,18.026666666666667,5
10,Berlyn Schutz,SO-2,Nebraska,05:48.6,18,03.1,18:03.1,10,2024GreenoDirksenCrossCountryInvitational,18.051666666666666,5
11,Taya Skelton,SR-4,Nebraska,05:49.8,18,07.0,18:07.0,11,2024GreenoDirksenCrossCountryInvitational,18.116666666666667,5
12,Ruby Hughes,FR-1,Iowa State,05:50.1,18,07.9,18:07.9,12,2024GreenoDirksenCrossCountryInvitational,18.131666666666668,5
13,Cami Merickel,SR-4,Nebraska,05:50.2,18,08.2,18:08.2,13,2024GreenoDirksenCrossCountryInvitational,18.136666666666667,5
14,Ella Buhlke,JR-3,Nebraska-Kearney,05:51.8,18,13.2,18:13.2,14,2024GreenoDirksenCrossCountryInvitational,18.22,5
15,Riley Hiebert,SR-4,St. Mary (Kan.),05:53.4,18,18.1,18:18.1,15,2024GreenoDirksenCrossCountryInvitational,18.301666666666666,5
16,Mya Trober,SO-2,Iowa State,05:54.9,18,22.9,18:22.9,16,2024GreenoDirksenCrossCountryInvitational,18.381666666666668,5
17,Ozia Trujillo,Sophomore,Unattached,05:55.7,18,25.3,18:25.3,NA,2024GreenoDirksenCrossCountryInvitational,18.421666666666667,5
18,Kamryn Ensley,JR-3,Omaha,05:55.9,18,25.8,18:25.8,17,2024GreenoDirksenCrossCountryInvitational,18.43,5
19,Makenzie Kordic,FR-1,Sonoma St.,05:56.2,18,26.8,18:26.8,18,2024GreenoDirksenCrossCountryInvitational,18.446666666666665,5
20,N Vanee Anchike,SO-2,Cloud County CC,05:56.7,18,28.3,18:28.3,19,2024GreenoDirksenCrossCountryInvitational,18.471666666666668,5
21,Reece Ewoldt,FR-1,Nebraska-Kearney,05:57.6,18,31.1,18:31.1,20,2024GreenoDirksenCrossCountryInvitational,18.518333333333334,5
22,Reagan Hiebert,SR-4,St. Mary (Kan.),05:57.8,18,31.6,18:31.6,21,2024GreenoDirksenCrossCountryInvitational,18.526666666666667,5
23,Nonhlanhla Mabuza,SO-2,Colby CC,05:59.7,18,37.8,18:37.8,NA,2024GreenoDirksenCrossCountryInvitational,18.63,5
24,Brooke Elfert,SO-2,Northern Colorado,06:00.8,18,41.1,18:41.1,22,2024GreenoDirksenCrossCountryInvitational,18.685,5
25,Keelee Leitzen,FR-1,Iowa State,06:00.9,18,41.4,18:41.4,23,2024GreenoDirksenCrossCountryInvitational,18.69,5
26,Josie Tyrrell,JR-3,St. Mary (Kan.),06:00.9,18,41.4,18:41.4,24,2024GreenoDirksenCrossCountryInvitational,18.69,5
27,Camryn Sattler,FR-1,Iowa State,06:00.9,18,41.4,18:41.4,25,2024GreenoDirksenCrossCountryInvitational,18.69,5
28,Kate Madsen,SR-4,St. Mary (Kan.),06:01.7,18,44.0,18:44.0,26,2024GreenoDirksenCrossCountryInvitational,18.733333333333334,5
29,Summer Olson,SR-4,Northern Colorado,06:01.8,18,44.2,18:44.2,27,2024GreenoDirksenCrossCountryInvitational,18.736666666666668,5
30,Brynn Hirschfeld,SO-2,Nebraska-Kearney,06:02.1,18,45.2,18:45.2,28,2024GreenoDirksenCrossCountryInvitational,18.753333333333334,5
31,Meryeme Mai,FR-1,Garden City CC,06:03.2,18,48.4,18:48.4,29,2024GreenoDirksenCrossCountryInvitational,18.806666666666665,5
32,Abbi Hutchinson,FR-1,Iowa Central CC,06:03.5,18,49.6,18:49.6,30,2024GreenoDirksenCrossCountryInvitational,18.826666666666668,5
33,Reid Harvey-McKean,FR-1,Garden City CC,06:03.9,18,50.8,18:50.8,31,2024GreenoDirksenCrossCountryInvitational,18.846666666666668,5
34,Claire Nowels,SO-2,Northern Colorado,06:04.2,18,51.6,18:51.6,32,2024GreenoDirksenCrossCountryInvitational,18.86,5
35,Noelle Abels,SO-2,Nebraska-Kearney,06:04.9,18,53.8,18:53.8,33,2024GreenoDirksenCrossCountryInvitational,18.89666666666667,5
36,Madison Nelson,SR-4,Bellevue,06:05.5,18,55.6,18:55.6,NA,2024GreenoDirksenCrossCountryInvitational,18.926666666666666,5
37,Mercy Angaamchaab,FR-1,Cloud County CC,06:05.9,18,56.9,18:56.9,34,2024GreenoDirksenCrossCountryInvitational,18.948333333333334,5
38,Julia Thigpen,SR-4,Northern Colorado,06:06.3,18,58.1,18:58.1,35,2024GreenoDirksenCrossCountryInvitational,18.968333333333334,5
39,Madisyn Ehrlich,JR-3,Kansas Wesleyan,06:06.7,18,59.4,18:59.4,36,2024GreenoDirksenCrossCountryInvitational,18.99,5
40,Charis Robinson,SO-2,Nebraska-Kearney,06:06.9,19,00.0,19:00.0,37,2024GreenoDirksenCrossCountryInvitational,19,5
41,Carrigan Eberly,FR-1,Air Force,06:07.8,19,03.0,19:03.0,38,2024GreenoDirksenCrossCountryInvitational,19.05,5
42,Marie Garret,FR-1,Iowa Central CC,06:07.9,19,03.2,19:03.2,39,2024GreenoDirksenCrossCountryInvitational,19.053333333333335,5
43,Barbara Neiva,SO-2,Iowa Western CC,06:08.6,19,05.4,19:05.4,NA,2024GreenoDirksenCrossCountryInvitational,19.09,5
44,Imane Jourji,FR-1,Iowa Central CC,06:09.0,19,06.7,19:06.7,40,2024GreenoDirksenCrossCountryInvitational,19.111666666666668,5
45,Grace Bonsall,SR-4,Nebraska-Kearney,06:09.1,19,06.9,19:06.9,41,2024GreenoDirksenCrossCountryInvitational,19.115,5
46,Rosemary Arthur,SO-2,Colby CC,06:09.1,19,07.0,19:07.0,NA,2024GreenoDirksenCrossCountryInvitational,19.116666666666667,5
47,Madeline Lage,FR-1,Creighton,06:09.3,19,07.5,19:07.5,NA,2024GreenoDirksenCrossCountryInvitational,19.125,5
48,Scarlet Fetterolf,SO-2,Air Force,06:09.8,19,08.9,19:08.9,42,2024GreenoDirksenCrossCountryInvitational,19.148333333333333,5
49,Chiara Belfico,SR-4,Drake,06:09.8,19,09.0,19:09.0,43,2024GreenoDirksenCrossCountryInvitational,19.15,5
50,Jacqueline Abanses,SR-4,Nebraska,06:10.2,19,10.4,19:10.4,44,2024GreenoDirksenCrossCountryInvitational,19.173333333333332,5
51,Carlie Gregg,SR-4,St. Mary (Kan.),06:11.5,19,14.4,19:14.4,45,2024GreenoDirksenCrossCountryInvitational,19.24,5
52,Jasleen Sidhu,FR-1,Air Force,06:12.5,19,17.6,19:17.6,46,2024GreenoDirksenCrossCountryInvitational,19.293333333333333,5
53,Scarlett Riddle,FR-1,Sonoma St.,06:13.6,19,20.8,19:20.8,47,2024GreenoDirksenCrossCountryInvitational,19.346666666666668,5
54,Kierra Jensen,JR-3,Kansas Wesleyan,06:14.1,19,22.3,19:22.3,48,2024GreenoDirksenCrossCountryInvitational,19.371666666666666,5
55,Molly Caruso,FR-1,Omaha,06:14.2,19,22.6,19:22.6,49,2024GreenoDirksenCrossCountryInvitational,19.376666666666665,5
56,Emma Hain,SR-4,Omaha,06:14.4,19,23.3,19:23.3,50,2024GreenoDirksenCrossCountryInvitational,19.388333333333332,5
57,Meredith Richter,FR-1,Omaha,06:14.8,19,24.5,19:24.5,51,2024GreenoDirksenCrossCountryInvitational,19.408333333333335,5
58,Juliette Gavois,FR-1,Iowa Central CC,06:15.6,19,27.2,19:27.2,52,2024GreenoDirksenCrossCountryInvitational,19.453333333333333,5
59,Rachel Fereday,SO-2,Air Force,06:15.9,19,28.0,19:28.0,53,2024GreenoDirksenCrossCountryInvitational,19.466666666666665,5
60,Kaia Richmond,?,Unattached,06:16.1,19,28.7,19:28.7,NA,2024GreenoDirksenCrossCountryInvitational,19.47833333333333,5
61,Kara Muller,FR-1,St. Mary (Neb.),06:17.6,19,33.4,19:33.4,54,2024GreenoDirksenCrossCountryInvitational,19.556666666666665,5
62,Carrington Hessen,FR-1,Omaha,06:17.9,19,34.3,19:34.3,55,2024GreenoDirksenCrossCountryInvitational,19.571666666666665,5
63,Monse Guerrero-Chapula,JR-3,St. Mary (Kan.),06:18.1,19,34.8,19:34.8,56,2024GreenoDirksenCrossCountryInvitational,19.58,5
64,Shannen Dorn,JR-3,St. Mary (Kan.),06:19.0,19,37.8,19:37.8,57,2024GreenoDirksenCrossCountryInvitational,19.63,5
65,Abigail White,JR-3,St. Mary (Kan.),06:19.3,19,38.6,19:38.6,NA,2024GreenoDirksenCrossCountryInvitational,19.643333333333334,5
66,Jessica Wilson,FR-1,Northern Colorado,06:20.1,19,41.0,19:41.0,58,2024GreenoDirksenCrossCountryInvitational,19.683333333333334,5
67,Zoie Ecord,JR-3,Nebraska,06:20.9,19,43.5,19:43.5,59,2024GreenoDirksenCrossCountryInvitational,19.725,5
68,Colleen Kelly,FR-1,Air Force,06:21.1,19,44.2,19:44.2,60,2024GreenoDirksenCrossCountryInvitational,19.736666666666668,5
69,Lillian Cutler,SR-4,Missouri Western,06:21.3,19,44.6,19:44.6,61,2024GreenoDirksenCrossCountryInvitational,19.743333333333332,5
70,Ayianna Olivas,SO-2,Iowa Western CC,06:21.4,19,45.1,19:45.1,NA,2024GreenoDirksenCrossCountryInvitational,19.751666666666665,5
71,Carly Holadia,JR-3,St. Mary (Kan.),06:21.8,19,46.2,19:46.2,NA,2024GreenoDirksenCrossCountryInvitational,19.77,5
72,Jillian Vaughn,SR-4,Rockhurst,06:22.0,19,46.9,19:46.9,62,2024GreenoDirksenCrossCountryInvitational,19.781666666666666,5
73,Gracie Shannon,SR-4,Drake,06:22.3,19,47.9,19:47.9,63,2024GreenoDirksenCrossCountryInvitational,19.798333333333332,5
74,Hannah Beintema,JR-3,Concordia (Neb.),06:22.4,19,48.2,19:48.2,64,2024GreenoDirksenCrossCountryInvitational,19.803333333333335,5
75,Camryn Bodine,SO-2,Air Force,06:22.6,19,48.8,19:48.8,65,2024GreenoDirksenCrossCountryInvitational,19.813333333333333,5
76,Sammy Ebell,FR-1,Sonoma St.,06:22.8,19,49.5,19:49.5,66,2024GreenoDirksenCrossCountryInvitational,19.825,5
77,Laney Parmeley,FR-1,Rockhurst,06:22.8,19,49.5,19:49.5,67,2024GreenoDirksenCrossCountryInvitational,19.825,5
78,Kirstin Hackney,SO-2,Kansas Wesleyan,06:23.7,19,52.4,19:52.4,68,2024GreenoDirksenCrossCountryInvitational,19.873333333333335,5
79,Charlee Lind,JR-3,Kansas Wesleyan,06:23.9,19,52.8,19:52.8,69,2024GreenoDirksenCrossCountryInvitational,19.88,5
80,Alayna Behrman,SR-4,Kansas Wesleyan,06:24.2,19,53.7,19:53.7,70,2024GreenoDirksenCrossCountryInvitational,19.895,5
81,Lexi Liess,JR-3,Nebraska-Kearney,06:24.2,19,53.8,19:53.8,71,2024GreenoDirksenCrossCountryInvitational,19.89666666666667,5
82,Keira Naidoo,FR-1,Rockhurst,06:24.6,19,55.1,19:55.1,72,2024GreenoDirksenCrossCountryInvitational,19.918333333333333,5
83,Emma Bonsall,JR-3,Nebraska-Kearney,06:25.1,19,56.5,19:56.5,NA,2024GreenoDirksenCrossCountryInvitational,19.941666666666666,5
84,Jessa Cassity,SO-2,St. Mary (Kan.),06:26.0,19,59.3,19:59.3,NA,2024GreenoDirksenCrossCountryInvitational,19.988333333333333,5
85,Sophie Rodriguez,SR-4,Sonoma St.,06:26.1,19,59.7,19:59.7,73,2024GreenoDirksenCrossCountryInvitational,19.995,5
86,Lily Jackson,JR-3,Omaha,06:26.4,20,00.6,20:00.6,74,2024GreenoDirksenCrossCountryInvitational,20.01,5
87,Maud Lambotte,FR-1,Iowa Central CC,06:26.7,20,01.7,20:01.7,75,2024GreenoDirksenCrossCountryInvitational,20.028333333333332,5
88,Danie Parriott,JR-3,Doane,06:26.8,20,01.9,20:01.9,76,2024GreenoDirksenCrossCountryInvitational,20.031666666666666,5
89,Calla Wittland,JR-3,Doane,06:27.2,20,03.0,20:03.0,77,2024GreenoDirksenCrossCountryInvitational,20.05,5
90,Mason Bina,JR-3,Emporia St.,06:28.2,20,06.2,20:06.2,78,2024GreenoDirksenCrossCountryInvitational,20.10333333333333,5
91,Grace Mullin,FR-1,Air Force,06:28.6,20,07.5,20:07.5,79,2024GreenoDirksenCrossCountryInvitational,20.125,5
92,Josie Koppes,JR-3,Kansas Wesleyan,06:29.0,20,08.8,20:08.8,80,2024GreenoDirksenCrossCountryInvitational,20.14666666666667,5
93,Carly Henderson,FR-1,St. Mary (Neb.),06:29.2,20,09.4,20:09.4,81,2024GreenoDirksenCrossCountryInvitational,20.156666666666666,5
94,Nontokozo Ncube,FR-1,Cloud County CC,06:29.5,20,10.3,20:10.3,82,2024GreenoDirksenCrossCountryInvitational,20.171666666666667,5
95,Shantell Hafner,SR-4,Northern Colorado,06:29.6,20,10.7,20:10.7,83,2024GreenoDirksenCrossCountryInvitational,20.178333333333335,5
96,Marissa Holm,2028,UNL Running Club,06:29.8,20,11.1,20:11.1,NA,2024GreenoDirksenCrossCountryInvitational,20.185,5
97,Gracen Glover,JR-3,St. Mary (Kan.),06:30.0,20,11.8,20:11.8,NA,2024GreenoDirksenCrossCountryInvitational,20.196666666666665,5
98,Kaitlyn Bloomenrader,FR-1,Wayne State (Neb.),06:30.1,20,12.0,20:12.0,84,2024GreenoDirksenCrossCountryInvitational,20.2,5
99,Annika Staab,FR-1,Concordia (Neb.),06:30.7,20,14.0,20:14.0,85,2024GreenoDirksenCrossCountryInvitational,20.233333333333334,5
100,Sophia Valentine,SO-2,Creighton,06:31.2,20,15.4,20:15.4,NA,2024GreenoDirksenCrossCountryInvitational,20.256666666666668,5
101,Talissa Tanquary,FR-1,Nebraska-Kearney,06:31.4,20,16.0,20:16.0,NA,2024GreenoDirksenCrossCountryInvitational,20.266666666666666,5
102,Natasha Perales,SR-4,Northern Colorado,06:31.4,20,16.3,20:16.3,NA,2024GreenoDirksenCrossCountryInvitational,20.27166666666667,5
103,Shelby Lingle,SO-2,Kansas Wesleyan,06:32.9,20,20.8,20:20.8,86,2024GreenoDirksenCrossCountryInvitational,20.346666666666668,5
104,Lydia Davis,FR-1,Nebraska-Kearney,06:33.2,20,21.8,20:21.8,NA,2024GreenoDirksenCrossCountryInvitational,20.363333333333333,5
105,Umahan Sahin,FR-1,Garden City CC,06:33.3,20,22.1,20:22.1,87,2024GreenoDirksenCrossCountryInvitational,20.368333333333332,5
106,Hannah Swanson,FR-1,Nebraska-Kearney,06:33.4,20,22.4,20:22.4,NA,2024GreenoDirksenCrossCountryInvitational,20.373333333333335,5
107,Kenzy Lippold,FR-1,Doane,06:35.0,20,27.2,20:27.2,88,2024GreenoDirksenCrossCountryInvitational,20.453333333333333,5
108,Alyssa Kulesa,FR-1,Iowa Western CC,06:35.2,20,27.9,20:27.9,NA,2024GreenoDirksenCrossCountryInvitational,20.465,5
109,Angeline Gutierrez,FR-1,Sonoma St.,06:35.3,20,28.4,20:28.4,89,2024GreenoDirksenCrossCountryInvitational,20.473333333333333,5
110,Tyrah American Horse,FR-1,Nebraska Wesleyan,06:36.0,20,30.4,20:30.4,90,2024GreenoDirksenCrossCountryInvitational,20.506666666666668,5
111,Emma Bartholome,FR-1,Emporia St.,06:36.6,20,32.5,20:32.5,91,2024GreenoDirksenCrossCountryInvitational,20.541666666666668,5
112,Lily Schwartz,SO-2,Omaha,06:36.8,20,33.1,20:33.1,92,2024GreenoDirksenCrossCountryInvitational,20.551666666666666,5
113,Bella Gomez,FR-1,Creighton,06:36.9,20,33.2,20:33.2,NA,2024GreenoDirksenCrossCountryInvitational,20.553333333333335,5
114,Grace Colbert,SO-2,Doane,06:36.9,20,33.4,20:33.4,93,2024GreenoDirksenCrossCountryInvitational,20.556666666666665,5
115,Annika Muller,FR-1,Missouri Western,06:37.0,20,33.5,20:33.5,94,2024GreenoDirksenCrossCountryInvitational,20.558333333333334,5
116,Cara Super,SR-4,Rockhurst,06:37.1,20,33.8,20:33.8,95,2024GreenoDirksenCrossCountryInvitational,20.563333333333333,5
117,Micah Dickens,FR-1,Kansas Wesleyan,06:37.5,20,35.3,20:35.3,NA,2024GreenoDirksenCrossCountryInvitational,20.588333333333335,5
118,Corinne Mead,JR-3,St. Mary (Neb.),06:37.7,20,35.8,20:35.8,96,2024GreenoDirksenCrossCountryInvitational,20.596666666666668,5
119,Ainsley Anderson,FR-1,Omaha,06:37.7,20,35.9,20:35.9,NA,2024GreenoDirksenCrossCountryInvitational,20.598333333333333,5
120,Gabriela Calderon,SO-2,Omaha,06:38.0,20,36.6,20:36.6,NA,2024GreenoDirksenCrossCountryInvitational,20.61,5
121,Alison Stepanek,FR-1,Concordia (Neb.),06:38.0,20,36.7,20:36.7,97,2024GreenoDirksenCrossCountryInvitational,20.611666666666668,5
122,Sydney Beaudin,JR-3,Omaha,06:38.4,20,38.1,20:38.1,NA,2024GreenoDirksenCrossCountryInvitational,20.635,5
123,Celestine kiborus,FR-1,Fort Hays Tech Northwest,06:39.5,20,41.5,20:41.5,NA,2024GreenoDirksenCrossCountryInvitational,20.691666666666666,5
124,Kayla Shea,SO-2,Northern Colorado,06:39.7,20,42.0,20:42.0,NA,2024GreenoDirksenCrossCountryInvitational,20.7,5
125,Keegan Beisel,JR-3,Concordia (Neb.),06:39.7,20,42.0,20:42.0,98,2024GreenoDirksenCrossCountryInvitational,20.7,5
126,Maia Italia,SR-4,Drake,06:39.7,20,42.0,20:42.0,99,2024GreenoDirksenCrossCountryInvitational,20.7,5
127,Brooke Wigdahl,SR-4,St. Mary (Neb.),06:39.8,20,42.3,20:42.3,100,2024GreenoDirksenCrossCountryInvitational,20.705,5
128,Erin Macfarlane,SO-2,Drake,06:40.4,20,44.1,20:44.1,101,2024GreenoDirksenCrossCountryInvitational,20.735,5
129,Alicia Rivera Camargo,SO-2,Bellevue,06:40.7,20,45.0,20:45.0,NA,2024GreenoDirksenCrossCountryInvitational,20.75,5
130,Josie Karnik,FR-1,St. Mary (Neb.),06:40.9,20,45.5,20:45.5,102,2024GreenoDirksenCrossCountryInvitational,20.758333333333333,5
131,Rhaya Kaschinske,SR-4,Concordia (Neb.),06:41.2,20,46.6,20:46.6,103,2024GreenoDirksenCrossCountryInvitational,20.776666666666667,5
132,Mira Fosmer,SO-2,St. Mary (Neb.),06:41.3,20,47.0,20:47.0,104,2024GreenoDirksenCrossCountryInvitational,20.783333333333335,5
133,Annaka Schlachter,FR-1,Concordia (Neb.),06:42.9,20,51.8,20:51.8,105,2024GreenoDirksenCrossCountryInvitational,20.863333333333333,5
134,Hannah Kilday,FR-1,Drake,06:43.1,20,52.4,20:52.4,NA,2024GreenoDirksenCrossCountryInvitational,20.873333333333335,5
135,Alivia Edens,FR-1,Iowa Central CC,06:43.8,20,54.7,20:54.7,106,2024GreenoDirksenCrossCountryInvitational,20.911666666666665,5
136,Dani Ahrens,FR-1,Nebraska Wesleyan,06:43.8,20,54.8,20:54.8,107,2024GreenoDirksenCrossCountryInvitational,20.913333333333334,5
137,Cadynce Shipman,FR-1,Missouri Western,06:44.8,20,57.8,20:57.8,108,2024GreenoDirksenCrossCountryInvitational,20.963333333333335,5
138,Meghan Coulter,SR-4,Drake,06:45.4,20,59.8,20:59.8,NA,2024GreenoDirksenCrossCountryInvitational,20.996666666666666,5
139,Alaire Serell,FR-1,Creighton,06:46.3,21,02.5,21:02.5,NA,2024GreenoDirksenCrossCountryInvitational,21.041666666666668,5
