PL,NAME,YEAR,TEAM,Avg. Mile,TIME,SCORE
193,Sheridan Wheeler,SO-2,Iowa State,05:43.3,21:20.1,191
194,Tiana LoStracco,SR-4,Arkansas,05:43.3,21:20.2,192
195,Anastacia Gonzales,JR-3,Arkansas,05:43.4,21:20.4,193
196,Sophie Baumann,JR-3,Ole Miss,05:43.5,21:20.7,194
197,Brooke Johnston,SO-2,Michigan,05:43.5,21:20.8,195
198,Malin Rahm,SO-2,Connecticut,05:44.3,21:23.6,196
199,Lucinda Rourke,JR-3,Louisville,05:44.4,21:24.1,197
200,Aiden Harrand,FR-1,Wake Forest,05:45.0,21:26.5,198
201,Ruby Hughes,FR-1,Iowa State,05:45.5,21:28.3,199
202,Kyra Pretre,SR-4,Texas,05:45.6,21:28.5,200
203,Nicole Dinan,FR-1,Florida State,05:45.7,21:28.9,201
204,Molly Fitzpatrick,JR-3,Boston College,05:45.7,21:29.0,
205,Marie Hostetler,SR-4,Liberty,05:45.7,21:29.1,202
206,Kate Putman,FR-1,NC State,05:46.1,21:30.6,
207,Alli Boehm,SR-4,Wake Forest,05:46.4,21:31.4,203
208,Marina Trave,JR-3,Wyoming,05:46.6,21:32.5,204
209,Beth Arentz,JR-3,Ole Miss,05:46.8,21:33.1,205
210,Ashlyn Keeney,JR-3,Iowa State,05:47.1,21:34.2,206
211,Hanna Bruckmayer,SR-4,New Mexico,05:47.2,21:34.6,
212,Taylor Pangburn,FR-1,Michigan State,05:47.3,21:34.8,
213,Lily Porth,SR-4,Tulane,05:47.5,21:35.7,207
214,Mackenzie Rogers,SO-2,Arkansas,05:47.6,21:36.2,208
215,Karina James,SO-2,Toledo,05:48.1,21:38.1,209
216,Eliza Sybrowsky,SR-4,Utah Valley,05:48.2,21:38.2,
217,Sophia Gorriaran,SO-2,Harvard,05:48.5,21:39.3,210
218,Mackenzie Hart,JR-3,Wake Forest,05:48.6,21:39.6,211
219,Saskia Lloyd,SR-4,Washington,05:49.0,21:41.3,212
220,Madeline Heintz,JR-3,Syracuse,05:49.2,21:42.1,213
221,Leah Christians,SR-4,Wyoming,05:49.5,21:43.0,214
222,Addison Boyer,FR-1,Florida State,05:50.7,21:47.5,215
223,Brighton Mooney,JR-3,Texas,05:51.1,21:49.0,216
224,Hailey Uhre,JR-3,Wyoming,05:51.1,21:49.2,217
225,Madelyn Blazo,JR-3,Wyoming,05:51.1,21:49.2,218
226,Chloe Trudel,SO-2,Connecticut,05:51.3,21:49.8,219
227,Emily Vining,SR-4,Toledo,05:51.3,21:49.9,220
228,Madison Relyea,JR-3,Connecticut,05:51.4,21:50.2,221
229,Leonie Saurer,SO-2,Lipscomb,05:51.4,21:50.2,
230,Madison Hulsey,SR-4,Ole Miss,05:51.4,21:50.4,222
231,Alex Sharp,JR-3,Tulane,05:51.6,21:50.9,223
232,Tori Herman,SR-4,Washington,05:51.8,21:51.9,
233,Rachael Woodruff,SR-4,Connecticut,05:52.5,21:54.4,224
234,Hannah Ielfield,SR-4,Ole Miss,05:52.6,21:54.8,225
235,Callie Tucker,SR-4,Tennessee,05:53.3,21:57.2,226
236,Jessica Palisca,JR-3,Liberty,05:53.4,21:57.6,227
237,Natalie VanOtteren,FR-1,Michigan,05:53.4,21:57.7,
238,Faith Linga,SR-4,Toledo,05:55.7,22:06.1,
239,Abby Sadler,FR-1,Harvard,05:56.7,22:10.0,
240,Frances Luna,JR-3,Ole Miss,05:57.2,22:11.9,
241,Josie Baker,FR-1,Iowa State,05:58.3,22:15.9,
242,Audrey Suarez,SR-4,Stanford,05:59.6,22:20.6,
243,Maddie Kelly,SR-4,Wake Forest,05:59.7,22:21.1,
244,Allison Hall,FR-1,Tulane,05:59.8,22:21.7,228
245,Mackenize Browne,SO-2,Texas,06:00.9,22:25.7,
246,Ruby Little,FR-1,Arkansas,06:01.2,22:26.9,229
247,Loghan Hughes,SO-2,Connecticut,06:02.4,22:31.2,
248,Morgan Kirkland,FR-1,Arkansas,06:02.5,22:31.6,
249,Reese Ragland,JR-3,Tulane,06:03.8,22:36.5,
250,Hanan Aldelemy,FR-1,Wyoming,06:09.4,22:57.4,
