PL,NAME,YEAR,TEAM,Avg. Mile,TIME,SCORE,
135,Alivia Edens,FR-1,Iowa Central CC,06:43.8,20:54.7,106,
136,Dani Ahrens,FR-1,Nebraska Wesleyan,06:43.8,20:54.8,107,
137,Cadynce Shipman,FR-1,Missouri Western,06:44.8,20:57.8,108,
138,Meghan Coulter,SR-4,Drake,06:45.4,20:59.8,,
139,Alaire Serell,FR-1,Creighton,06:46.3,21:02.5,,
140,Kelsie Heins,SO-2,Concordia (Neb.),06:47.0,21:04.6,109,
141,Allie Czapla,FR-1,Wayne State (Neb.),06:47.3,21:05.5,110,
142,Catherine Lyon,SR-4,Emporia St.,06:47.4,21:06.0,111,
143,Kathryn Cameron,FR-1,St. Mary (Kan.),06:47.6,21:06.6,,
144,Cynthia Chaparro Belloc,SR-4,Hastings,06:47.7,21:06.9,112,
145,Sarah Farrens,SO-2,Rockhurst,06:49.0,21:11.0,113,
146,Molly McClung,SO-2,Rockhurst,06:49.7,21:13.0,114,
147,Lili-Rose Breheret,SO-2,Cowley College,06:49.8,21:13.4,,
148,Vanessa Lee,SR-4,Drake,06:50.1,21:14.4,,
149,Laura Hasemann,SO-2,Doane,06:50.2,21:14.6,115,
150,Mya Schweitzer,FR-1,Kansas Wesleyan,06:50.5,21:15.4,,
151,Autumn Simons,SR-4,St. Mary (Neb.),06:51.3,21:18.1,116,
152,Savannah Fischer,SO-2,Cowley College,06:51.4,21:18.2,,
153,Ava Klaassen,FR-1,St. Mary (Kan.),06:51.5,21:18.5,,
154,Molly Morris,SR-4,Rockhurst,06:51.7,21:19.4,117,
155,Mary O'Connor,SR-4,Rockhurst,06:52.3,21:21.0,,
156,Natalie Bogdanova Kirilova,SO-2,Iowa Central CC,06:53.2,21:23.8,118,
157,Grace Dow,SO-2,Hastings,06:53.5,21:25.0,119,
158,Claire Beikmann,SO-2,Concordia (Neb.),06:53.7,21:25.4,,
159,Teigan Davis,SO-2,St. Mary (Kan.),06:53.9,21:26.2,,
160,Madeline Kunz,JR-3,Wayne State (Neb.),06:54.4,21:27.6,120,
161,Diana Messick,FR-1,Emporia St.,06:54.8,21:28.9,121,
162,McKenna Lovehaug,SR-4,Nebraska,06:55.1,21:29.7,,
163,Payton Jorczak,FR-1,Nebraska Wesleyan,06:55.2,21:30.2,122,
164,Christina Martinson,FR-1,Concordia (Neb.),06:55.4,21:30.6,,
165,Kaylee Jenish,FR-1,Air Force,06:55.5,21:31.1,,
166,Callie Kirchner,SO-2,Wayne State (Neb.),06:56.3,21:33.7,123,
167,Marissa Miles,FR-1,Doane,06:56.7,21:34.9,124,
168,Alexis O'Mara,SO-2,Rockhurst,06:57.1,21:35.9,,
169,Hannah Quinn,FR-1,Drake,06:57.2,21:36.3,,
170,Lydia Edmonds,FR-1,Concordia (Neb.),06:57.6,21:37.7,,
171,Yenifer Juan Jesus,SO-2,St. Mary (Neb.),06:58.3,21:39.8,,
172,Koe Schultz,SO-2,Emporia St.,06:58.3,21:39.9,125,
173,Hailey Nordhus,FR-1,Kansas Wesleyan,06:58.7,21:41.0,,
174,Eva Georgoulopoulos,FR-1,St. Mary (Neb.),07:00.3,21:45.9,,
175,Ellie Jander,JR-3,Concordia (Neb.),07:01.3,21:49.2,,
176,Delaney Catron,SO-2,Doane,07:02.5,21:52.9,126,
177,Bethani Grove,SO-2,Missouri Western,07:04.0,21:57.5,127,
178,Kenzie Spencer,FR-1,Doane,07:04.3,21:58.4,,
179,Renee Kafka,FR-1,Omaha,07:04.9,22:00.2,,
180,Madeline Martin,SR-4,Emporia St.,07:06.9,22:06.4,128,
181,Makayla Little,FR-1,Kansas Wesleyan,07:07.4,22:08.1,,
182,Lauren Bishard,FR-1,St. Mary (Kan.),07:08.3,22:10.7,,
183,Sarah Mueller,FR-1,Rockhurst,07:08.5,22:11.4,,
184,Ava Brackhan,JR-3,Hastings,07:09.2,22:13.6,129,
185,Maddy Ramey,SO-2,Doane,07:10.5,22:17.7,,
186,Reese Kozisek,FR-1,Nebraska Wesleyan,07:10.6,22:18.1,130,
187,Bailey Cutler,SO-2,Missouri Western,07:11.2,22:20.0,131,
188,Jozlyn Barnes,SO-2,Wayne State (Neb.),07:11.5,22:20.7,132,
189,Ellie Beck,FR-1,Rockhurst,07:12.2,22:23.1,,
190,Emily Beckner,JR-3,Northern Colorado,07:13.3,22:26.3,,
191,Josie Smith,SO-2,Concordia (Neb.),07:13.6,22:27.4,,
192,Gabby Maryott,SO-2,Doane,07:14.3,22:29.4,,
193,Shania Santos,SR-4,Hastings,07:14.7,22:30.7,133,
194,Natalie Briggs,SO-2,St. Mary (Neb.),07:15.0,22:31.8,,
195,Sonya Rodekohr,2028,UNL Running Club,07:16.0,22:34.9,,
196,Joscelyn Monarrez,SO-2,Garden City CC,07:16.3,22:35.6,134,
197,Alyssa Ferguson,SO-2,Concordia (Neb.),07:16.7,22:36.8,,
198,Peyton Bell,SO-2,St. Mary (Neb.),07:16.8,22:37.4,,
199,Pauline Althoff,FR-1,Cowley College,07:17.5,22:39.4,,
200,Nikola Prochazkova,JR-3,Wayne State (Neb.),07:17.9,22:40.7,135,
201,Emily Lytle,SO-2,Doane,07:18.6,22:42.8,,
202,Bella Wiltfong,JR-3,Rockhurst,07:18.8,22:43.5,,
203,Madi McKie,FR-1,Wayne State (Neb.),07:19.7,22:46.2,136,
204,Kiley Craft,JR-3,St. Mary (Neb.),07:22.0,22:53.3,,
205,Snegugu Mkhize,FR-1,Colby CC,07:22.9,22:56.2,,
206,Theresa Berger,FR-1,Rockhurst,07:23.4,22:57.7,,
207,Kaitlyn Thalman,SO-2,St. Mary (Neb.),07:24.2,23:00.3,,
208,Joni Schroeder,JR-3,Kansas Wesleyan,07:25.4,23:03.9,,
209,Mesa Casper,FR-1,St. Mary (Kan.),07:26.2,23:06.5,,
210,Maelee Beacom,JR-3,Wayne State (Neb.),07:27.1,23:09.4,,
211,Annalynn Earley,SR-4,Rockhurst,07:28.5,23:13.8,,
212,Ella Easton,FR-1,Rockhurst,07:30.1,23:18.6,,
213,Whitney Cure,SO-2,Hastings,07:30.8,23:20.6,137,
214,Kat Hudson,FR-1,Missouri Western,07:33.4,23:28.9,138,
215,Mira Comstock,FR-1,Nebraska Wesleyan,07:37.9,23:42.8,139,
216,Emma McAlister,FR-1,Kansas Wesleyan,07:38.3,23:44.1,,
217,Katelyn Nix,SR-4,Concordia (Neb.),07:39.0,23:46.4,,
218,Beverlyne Kiptarus,SO-2,Garden City CC,07:39.6,23:48.0,140,
219,Grace Pyle,FR-1,Nebraska Wesleyan,07:40.9,23:52.1,141,
