PL,NAME,YEAR,TEAM,Avg. Mile,TIME,SCORE
126,Jadyn Zdanavage,FR-1,Michigan,05:49.5,21:43.0,123
127,Sydney Masciarelli,JR-3,North Carolina,05:49.7,21:44.0,124
128,Olivia Morganti,SR-4,Georgetown,05:49.8,21:44.1,125
129,Anjali Hocker Singh,FR-1,Michigan,05:49.8,21:44.2,126
130,Maddie Peters,FR-1,Texas A&M,05:49.9,21:44.5,127
131,Amelia Arrieta,SO-2,Villanova,05:50.1,21:45.2,128
132,Linda Perez,JR-3,Lipscomb,05:50.2,21:45.9,129
133,Maddy Whitman,JR-3,Northwestern,05:50.4,21:46.3,130
134,Sage Brooks,JR-3,Oregon State,05:50.4,21:46.6,131
135,Jade Rypkema,SO-2,Gonzaga,05:50.6,21:47.1,132
136,Faith DeMars,SR-4,Penn State,05:50.8,21:47.9,133
137,Skye Ellis,JR-3,Northwestern,05:51.0,21:48.9,134
138,Lisa Luecke,SO-2,Michigan,05:51.3,21:49.8,
139,Kiara Smeltz,SR-4,Lipscomb,05:51.3,21:49.9,135
140,Elise Smoot,JR-3,Texas A&M,05:51.4,21:50.2,136
141,Allison Dougherty,SO-2,Penn State,05:51.5,21:50.6,137
142,Tilly O'Connor,SO-2,Villanova,05:51.7,21:51.3,138
143,Cadence Kasprick,FR-1,Oregon State,05:52.0,21:52.5,139
144,Lillian Feingold,SO-2,Furman,05:52.1,21:53.0,140
145,Aiden Harrand,FR-1,Wake Forest,05:52.5,21:54.5,141
146,Heidi Demeo,SR-4,Syracuse,05:52.7,21:54.9,142
147,Carmen Krawczynski Gonzalez,JR-3,Lipscomb,05:53.2,21:56.8,143
148,Kennady Fontenot,JR-3,Texas A&M,05:53.3,21:57.3,144
149,Samantha Prusse,SR-4,Portland,05:53.4,21:57.8,145
150,Claire Zubey,SO-2,Penn State,05:53.7,21:58.8,
151,Keira Saavedra,FR-1,Gonzaga,05:53.8,21:59.3,
152,Emily Brown,SR-4,Florida State,05:53.9,21:59.7,146
153,Emma Little,JR-3,Texas A&M,05:54.0,22:00.0,147
154,Sheridan Wheeler,SO-2,Iowa State,05:54.0,22:00.1,148
155,Sam Poglitsch,SR-4,Illinois,05:54.3,22:01.0,149
156,Emma Jones,JR-3,Furman,05:54.7,22:02.5,150
157,Jane Roloff,FR-1,Portland,05:54.8,22:02.9,151
158,Addison Boyer,FR-1,Florida State,05:55.6,22:05.9,152
159,Kendall Martin,JR-3,Oregon,05:55.8,22:06.8,153
160,Mie Nielsen,SR-4,Portland,05:56.6,22:09.6,154
161,Sasha Neglia,SR-4,North Carolina,05:56.7,22:10.1,
162,Harper McClain,SR-4,Oregon,05:57.4,22:12.8,
163,Erika Cunniam,JR-3,Oregon State,05:58.0,22:14.7,155
164,Teresa Perez,SR-4,Portland,05:58.9,22:18.2,156
165,Stina Pettersson,SR-4,Portland,05:59.2,22:19.4,
166,Tori Herman,SR-4,Washington,05:59.3,22:19.8,157
167,Nicole Chastain,SR-4,Texas A&M,05:59.6,22:21.0,158
168,Rory Clare,JR-3,Columbia,06:01.0,22:26.1,159
169,Margaret Carroll,JR-3,Villanova,06:01.2,22:26.8,160
170,Becca Heitzig,FR-1,Iowa State,06:02.2,22:30.6,161
171,Chloe Gonzalez,SR-4,Georgetown,06:02.7,22:32.4,
172,Nyah Hernandez,SR-4,Syracuse,06:02.9,22:33.0,
173,Ella Borsheim,JR-3,Washington,06:03.3,22:34.6,162
174,Scarlett Martin,FR-1,Columbia,06:03.4,22:35.1,163
175,Maddie Livingston,SR-4,Texas A&M,06:03.9,22:37.0,164
176,Penelope Gracey,FR-1,Texas A&M,06:04.1,22:37.5,
177,Brigid McCabe,SR-4,Columbia,06:04.6,22:39.3,165
178,Kennady Anderson,FR-1,Illinois,06:05.5,22:42.8,166
179,Daniella Hubble,SR-4,Illinois,06:05.9,22:44.4,167
180,Leanna Johnston,SO-2,Columbia,06:07.1,22:48.9,168
181,Grace Wassell,SO-2,Wake Forest,06:09.8,22:58.8,169
182,Leonie Saurer,SO-2,Lipscomb,06:10.6,23:01.7,
183,Nicole Dinan,FR-1,Florida State,06:12.0,23:07.0,170
184,Mabry Bruhn,SO-2,Illinois,06:12.2,23:07.8,171
185,Amalia Malecek,SR-4,Illinois,06:14.6,23:16.8,172
186,Mackenzie Hart,JR-3,Wake Forest,06:15.4,23:19.7,
187,Claire Yerby,SR-4,Washington,06:16.0,23:22.0,
188,Josie Baker,FR-1,Iowa State,06:18.4,23:31.0,173
189,Yasmine Abbes,SR-4,Boston College,06:19.0,23:33.0,
190,Kate Kuwahara,SR-4,Columbia,06:20.6,23:39.2,174
0,Isabelle Walsh,FR-1,Villanova,,DNF,
0,Reese Fahys,SO-2,Providence,,DNF,
0,Ashleigh Anderson,JR-3,Illinois,,DNF,
0,Rebecca Bergnes,SR-4,Florida State,,DNF,
0,Anna Hightower,JR-3,Northwestern,,DNF,
0,Ruby Broadbent,SO-2,Oregon State,,DNF,
0,Betty Kipkore,FR-1,Iowa State,,DNF,
0,Kylie Hartnett,JR-3,Utah,,DNS,
0,Ella Thorsett,FR-1,Oregon,,DNS,
0,Josephine Welin,SO-2,Washington,,DNS,
0,Grace Moroney,SO-2,Utah,,DNS,
0,Lauren Ayers,FR-1,Utah,,DNS,
0,Ava Dobson,SR-4,North Carolina,,DNS,
0,Saskia Lloyd,SR-4,Washington,,DNS,
0,Brianna Rinn,SO-2,Utah,,DNS,
0,Sona Kourilova,JR-3,Utah,,DNS,
0,Kate Tugman,JR-3,Iona,,DNS,
0,Kelsey Harrington,JR-3,North Carolina,,DNS,
